LINHA;MES;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU
3-Vermelha;Janeiro;1;18,2;10,3;3,6;3,5;4,3;4,8;5,7;23;6,2;5,4;10,1;5,4;2,8;6,7;22,3;4,6;4,2;34,3
3-Vermelha;Janeiro;2;46,9;33,2;12,3;11,9;14,4;15,5;22,1;71,2;21,8;17,3;34;10,6;12,2;30,7;72,9;13,8;14,9;87,7
3-Vermelha;Janeiro;3;54,7;39,7;15;14,2;17,9;18,9;27,2;84,5;26,3;20,7;40,2;11,7;14,3;37,7;87,7;16,9;18,1;107,7
3-Vermelha;Janeiro;4;56,9;41,3;16,2;14,9;18,7;19,6;28,9;88,8;27,4;21,3;40,6;12;14,9;39,2;91,9;17;19;105,3
3-Vermelha;Janeiro;5;59,5;42,9;16,3;15,6;18,5;20,3;30,3;94,5;28,4;23,1;44,2;13,3;15,9;40,4;96,4;18;19,8;108,3
3-Vermelha;Janeiro;6;40,1;28,3;10,3;10,1;12,2;13,2;19;67,4;18;17;33,8;8,9;9;20,4;60,3;11,5;12,2;75,4
3-Vermelha;Janeiro;7;26,4;16,1;5,8;5,4;7,6;7,9;10;40,3;12,1;9,1;16,6;6,8;4,5;10,2;34,1;8,4;7,4;48,9
3-Vermelha;Janeiro;8;62,6;45,8;17,6;16,7;21,4;22,1;33,5;99,5;30,4;25;49,9;11,7;19,2;43,7;102,4;18,9;17,8;120,9
3-Vermelha;Janeiro;9;64,9;48,1;18,6;17,8;22,8;23,4;36;105,1;33,9;26,5;52;15,3;20,2;46,2;111,8;20;22,2;126,5
3-Vermelha;Janeiro;10;64,9;48,1;18,5;18,1;23;23,6;36,2;103,5;33,7;26,1;51,7;14,3;20,1;46,7;112,4;20,4;22,7;128,8
3-Vermelha;Janeiro;11;64,2;48,5;18,9;17,9;22,9;23,2;36,6;102,5;33,3;26,3;48,8;13,7;19,3;45,5;110;19,8;22,6;118,1
3-Vermelha;Janeiro;12;64,9;48,2;18,3;17,6;22,1;23;34,9;98,8;32,7;25,7;46,9;14,4;18,9;44,4;107,2;19,2;22;120,1
3-Vermelha;Janeiro;13;42,3;29,3;10,9;10,4;13;14;20,3;69,7;18,5;18,5;36,3;8,9;9;20,2;61,2;12;13;77,7
3-Vermelha;Janeiro;14;30,1;18;6,2;6,4;8;8,7;14,2;42,1;13,9;12,3;18,3;8,3;4,5;11,5;39,7;8,5;8,8;64,5
3-Vermelha;Janeiro;15;65,1;47,7;18,4;17,7;22,6;23;36,3;99,1;31,8;25,9;49,5;13,4;19,6;45,3;105,9;19,7;22,2;126,1
3-Vermelha;Janeiro;16;67,3;50,1;19,2;18,6;23,7;24,2;37,6;107,3;35;26,6;50,5;15,4;19,8;47,6;113;20,8;23,2;137,5
3-Vermelha;Janeiro;17;66,5;49,5;19,2;18,7;23,7;24,2;38,5;106;35,2;26;48,3;14,3;19,4;47,1;112,5;20,7;23,5;132,2
3-Vermelha;Janeiro;18;67,3;49,7;19,8;18,7;23,9;24;37,9;106,5;34,5;25,5;48,3;14,3;19,5;47,7;112,7;20,4;23,7;131,3
3-Vermelha;Janeiro;19;66,1;49,3;19;18,4;23,4;23,8;37,5;108;34;25,6;48,6;14,9;19,4;46,2;109,5;20,1;23,6;135
3-Vermelha;Janeiro;20;44,3;30,6;11,3;10,8;13,2;14,3;22,7;70,4;19,4;16,7;35,7;9,5;9,2;19,7;64,9;12,4;13,6;93,6
3-Vermelha;Janeiro;21;37,7;17,9;6;5,9;7,8;7,9;11,4;41,1;11,9;11,1;16,3;6,1;4,1;10,6;37,2;8,2;10,4;66,7
3-Vermelha;Janeiro;22;72,5;47,3;18,8;18,3;23,3;24;37,7;105,6;32,7;26,2;50;13;20,2;46,3;110,3;19,9;23,5;132,1
3-Vermelha;Janeiro;23;61,6;48,1;18,7;17,8;23,3;23,2;36,8;102,8;32,9;23,8;46,5;14,5;18,5;43,4;111,6;19,7;22,8;135,9
3-Vermelha;Janeiro;24;69,8;52,5;20,2;19,8;25,1;25,5;40,1;112,2;36;27,8;50,5;15,5;21,3;49,5;120,9;21,7;25;148,9
3-Vermelha;Janeiro;25;45,4;26,6;9,3;8,7;10,9;11,6;17,1;56,1;15,8;8,6;21,6;7;6,6;20,3;54;9,8;11,4;78,8
3-Vermelha;Janeiro;26;58,4;43,2;16,3;15,7;19,3;20,7;31,6;93;29,3;23,3;45,6;12,7;14,4;37;92,8;17,6;20,7;117
3-Vermelha;Janeiro;27;43,6;30,2;11,1;10,8;13,8;14,3;21,3;78,3;18,9;16;35,7;9,5;9;21,3;66,1;12,2;14;88,9
3-Vermelha;Janeiro;28;30;15,6;5,2;5,5;7,1;7,2;10;32,9;11,1;9;14,6;5,9;3,8;10,8;32,7;8,1;8,5;59,1
3-Vermelha;Janeiro;29;66,8;49,6;19,2;18,6;22,8;22,5;39;106,9;33,3;26,5;49;13,9;19,7;46,5;110,4;20;23,8;131
3-Vermelha;Janeiro;30;78,4;54,3;20,6;19,9;25,6;25,8;41,1;109,8;36,2;27,8;52,6;16,2;20,9;49,7;121,3;21,4;25,5;143
3-Vermelha;Janeiro;31;67,4;51,1;20,2;19,8;25,2;25,7;40,2;111,7;35,8;27;51,3;14,7;20,7;49,5;118,8;21,4;24,8;142,6
3-Vermelha;Fevereiro;1;67,5;51,1;20,4;19,4;24,8;24,5;38,5;114,8;31,2;23,2;48,2;13,2;18,6;38,3;110,4;18,1;21,3;147,8
3-Vermelha;Fevereiro;2;63,1;50,5;19,8;18,2;23,9;24;38,7;109;34,5;26;49,1;14,9;19,8;47,3;116,2;20,7;24,1;130,7
3-Vermelha;Fevereiro;3;45,3;32,6;12,3;12,1;14,4;16,1;22,8;74,4;20,3;18,6;40,1;10;10,3;24;74,1;14,8;16,2;83,3
3-Vermelha;Fevereiro;4;36,2;19;6,6;6,8;7,9;9;11,6;42;13,3;11,6;16,9;6,9;4,8;13,9;46,2;10,7;9,8;68,2
3-Vermelha;Fevereiro;5;69,7;51,8;20,6;19,7;24,8;25,2;44,5;104,6;34,6;27,4;50,9;14,4;21,4;48,2;115,6;21,6;24,6;133,7
3-Vermelha;Fevereiro;6;70,8;53,5;21,2;20,5;26,3;26,2;46,3;117,9;36,8;28,3;53,6;16;21,7;50,3;124;22,4;25,5;145,3
3-Vermelha;Fevereiro;7;71,5;54,5;21,6;21,3;26,4;27,2;46,7;114,5;36,9;28,6;53,5;15,3;21,8;50,6;123,9;23,2;25,9;144,8
3-Vermelha;Fevereiro;8;70,5;54,1;21,6;20,7;26;26,6;45,5;114,4;36,6;28,1;52,3;14,7;21,3;49,9;121,9;22,4;25,9;135,6
3-Vermelha;Fevereiro;9;69,9;53,4;20,8;20,1;24,7;26,1;42,3;109,5;35,8;27,5;52,4;15,5;20,6;49,8;118,8;21,5;24,7;151,1
3-Vermelha;Fevereiro;10;44,3;30,8;11,8;11,6;12,9;15,3;20,9;70,6;19,7;17,2;36,4;9,4;10;28,8;85,5;14,2;17,6;89,3
3-Vermelha;Fevereiro;11;40,1;20,4;7,1;7,4;8,6;9,8;12,1;45,1;13,5;10,6;19,8;8,7;4,9;17,5;55,8;10,4;12,3;83,3
3-Vermelha;Fevereiro;12;39;27,9;10,5;10;11,4;13,5;18,9;61,9;19,1;16,6;29;7,7;8;23,5;63,9;16,9;15;72,5
3-Vermelha;Fevereiro;13;31,6;21,8;8,2;8;9,4;10,4;15,1;55,9;15,5;12,9;20,8;7,6;5;19,4;53,8;14;14,6;91,6
3-Vermelha;Fevereiro;14;54,7;41,4;15,6;15,1;18,4;20,1;30,5;64;27,3;21,8;52,4;11,9;14,1;36,8;86,1;17,5;19,2;102,5
3-Vermelha;Fevereiro;15;70,4;52,4;20,8;19,7;24,9;25,8;45,4;72;34,6;26,8;69,9;14,3;20;47,3;112,7;21,4;24,2;137,1
3-Vermelha;Fevereiro;16;68,4;52;20,5;19,6;24,6;25,8;43,5;73,1;35,3;27,5;72,4;16,3;20,1;47,1;111,6;21,8;24,3;130,9
3-Vermelha;Fevereiro;17;44,4;31,8;12,2;11,6;14,4;15,3;22,9;59,3;20,2;17,4;43,8;9,8;10,2;23,9;69,5;15,1;15,3;86,3
3-Vermelha;Fevereiro;18;34,2;17,3;6,1;6;7,9;8,1;11,4;42;12;9,5;22,2;6,1;4,3;12,4;40,5;8,7;8,3;54,5
3-Vermelha;Fevereiro;19;70,9;53;21,2;20,2;25,7;26,8;50,4;71,1;35;31,7;72,2;14,1;20,6;47,8;114,9;22,3;24,6;142,1
3-Vermelha;Fevereiro;20;71,7;54,8;21,8;20,9;26,4;27,7;51,6;72,8;36,8;31,7;75;15,6;20,6;49,8;119,2;22,8;25,5;144,5
3-Vermelha;Fevereiro;21;71,3;54,5;21,6;20,9;26,5;27,7;51,6;73,3;37,3;30,2;71,8;15;21;50,3;119,7;23,1;25,4;145,2
3-Vermelha;Fevereiro;22;67,3;55;22,2;21,1;27,1;27,8;51,1;73,6;37,4;30,9;74,2;14,8;17,7;49,1;118,7;22,7;25,7;143,4
3-Vermelha;Fevereiro;23;68,4;53,8;21,1;20,4;25,6;26,8;48,5;75,3;36,9;30,1;73,7;15,4;20,6;48,2;117,7;22,2;25,7;131
3-Vermelha;Fevereiro;24;43,6;31,2;11,9;11,1;14,1;14,5;23,4;58,6;20;17,2;41,5;9,4;9,3;21,3;62,8;12,8;14,3;83,7
3-Vermelha;Fevereiro;25;38,1;20,1;7,1;7,1;9,6;11,6;13,7;43,7;13,7;11,8;19,5;6,7;5,3;12,7;46,6;8,9;9;64,8
3-Vermelha;Fevereiro;26;70;53,5;21,4;20,5;25,8;26,7;45,1;71,2;35,6;31,9;73,8;14,1;20,8;47,9;113,6;22,3;25,4;142,5
3-Vermelha;Fevereiro;27;72;52,5;22,2;21,2;27,1;27,9;47,9;74,2;37,8;33,1;75,8;16;20,8;50,2;120;23,1;26,7;149,9
3-Vermelha;Fevereiro;28;70,9;54,5;22,1;21,1;26,7;27,8;51,9;67,6;37,2;30,4;73,8;14,9;20,6;50,1;118,2;23,4;26,5;137,7
3-Vermelha;Fevereiro;29;71,8;55,4;22,5;21,2;26,9;27,7;52,1;73,2;37,4;31,5;74,1;15;21;50,3;121,8;22,9;26,5;145,5
3-Vermelha;Março;1;71;54,9;21,9;20,9;26,1;27,3;49,3;75,3;36,8;31,4;74,6;15,6;20,5;49,6;118,8;23,4;25,9;137,3
3-Vermelha;Março;2;56,7;34,4;12,6;12,4;15;15,6;25,2;61,9;21,6;18,6;43,3;9,9;9,8;22,7;69;13,5;15,3;92,4
3-Vermelha;Março;3;27,1;17,1;6,3;6,4;8;8;11,2;34,1;12,6;9,1;21,4;6,6;4;11,4;37,9;8,8;8,6;51,9
3-Vermelha;Março;4;71,3;54,7;21,7;20,7;26;27;51,4;72,5;36,2;31,6;76,8;14,3;20,9;49,5;116,2;22,8;25,7;136
3-Vermelha;Março;5;70,8;54,6;21,9;21,1;22,8;28,1;51,5;75,7;38,2;32;75,7;16,2;21,4;52,7;121,8;23,2;26,3;150,3
3-Vermelha;Março;6;72;56,2;22,4;21,6;27,4;28,2;53,2;75,1;37,5;31,1;74,1;15,4;21,6;51,1;123,2;24,2;27;146,8
3-Vermelha;Março;7;72,3;53,8;22,8;21,7;27,2;28,5;52,2;75,7;38,2;31,8;76;15,2;21,4;51,3;124,3;23,5;27;142,1
3-Vermelha;Março;8;73,3;55,9;22;21;26,6;27,7;49,4;77,3;37,4;31,4;76,8;15,9;21,9;53,9;122,3;23,1;26,5;145,8
3-Vermelha;Março;9;46,2;32,8;12,7;11,9;14,8;15,6;24,2;61,2;20,9;18,1;48;9,6;10,2;23,4;66,2;13,7;15;85,2
3-Vermelha;Março;10;25,9;16,4;6,1;6;7,5;8;11;33,5;11,9;9,2;19,6;7,5;3,9;11,9;33,9;8,3;8,7;56,7
3-Vermelha;Março;11;71,5;54,9;21,6;20,6;26,3;27,3;51,3;72,7;35,7;32,2;77;14,5;21,1;49,5;116,4;22,6;25,5;139,9
3-Vermelha;Março;12;72,2;56,4;22,4;21,6;27,4;27;52,2;75,8;36,3;33,4;76,4;16,3;21,5;52,2;123,6;23,6;26,7;152,8
3-Vermelha;Março;13;76,5;56,4;22,5;21,6;27,6;28,7;53,3;75,1;38;31,1;79,9;15,6;22,2;53,8;123,9;24,2;26,8;152,5
3-Vermelha;Março;14;71,9;56,1;22,5;21,3;27,2;28;52;73,7;37,8;31,8;80,1;15;21,2;50,9;118,3;23,2;26,9;143,1
3-Vermelha;Março;15;72,6;55,5;21,8;20,7;25,8;27,9;50;76,6;38,2;31,3;76,5;15,9;20,5;50,7;117,5;23,6;26,5;146
3-Vermelha;Março;16;46,5;32,7;12,6;11,6;14,9;15,7;24,8;60,8;21,6;17,9;45,2;10,2;10,1;23,9;67,7;13,9;15,6;86,8
3-Vermelha;Março;17;26,5;16,7;6,5;6,2;7,9;8,4;11,5;34,1;13,2;9,1;18,8;6,3;4,3;11,3;37,5;8,9;9,3;53,9
3-Vermelha;Março;18;70,9;53,7;21,5;20,4;25,9;26,8;50,4;71,4;35,5;31,3;74,6;14,2;20,7;49,7;115;21,6;25,3;138,5
3-Vermelha;Março;19;72,3;56,3;22,2;21,1;27,6;28,4;52,8;75,3;38,8;32,9;77,4;15,9;21,5;56,2;122;22,2;26,7;145,1
3-Vermelha;Março;20;72,8;56,3;22,5;21,8;27,5;28,9;53,6;75,1;38,6;31,2;77;15,6;21,8;53,5;126,5;23,9;27;145,3
3-Vermelha;Março;21;72;56;22,6;23,4;27,5;28,4;52,7;75,2;38,5;32;75,6;15,1;21,1;49,7;123,1;23,4;26,8;139,9
3-Vermelha;Março;22;82,1;54,1;21,3;20,5;25,9;27,1;47,6;84;36;29,9;77,3;15;20;49,9;110,9;22,2;26;140,6
3-Vermelha;Março;23;42,8;30,2;11,5;10,4;13,7;14,4;22,7;55,3;19,7;16,2;40,5;9,1;9,8;22,4;65,7;12,5;14,4;78,1
3-Vermelha;Março;24;24,8;16,2;6;5,8;7,4;7,6;8;32,1;11,5;9,7;16,1;5,7;4,3;10,7;35,4;8,6;8,6;49,3
3-Vermelha;Março;25;67,9;54,5;21,8;20,8;26,2;27,5;51;71,5;35,6;31,4;73,5;14,6;21,2;49,2;116,4;22,7;26;142
3-Vermelha;Março;26;73,2;56;22,7;21,8;27,8;28,7;52,8;74,3;38,3;33;76,1;16,3;21,6;52,9;123,8;23,8;26,8;142,2
3-Vermelha;Março;27;88;58,6;22,7;22;27,6;29,5;53,3;75,3;38,2;30,9;76,5;15,6;21,2;50,5;125,2;24;27,1;149,7
3-Vermelha;Março;28;71,5;54,5;22;21,1;26,4;27,1;48,3;75;37,6;30,2;72,8;15,2;19;49,8;119,4;22,8;25,8;143,4
3-Vermelha;Março;29;31;19;7,4;6,9;8,2;8,7;12,4;36;11,7;10,1;21,4;6,9;4,7;13,4;36,8;9;9;62,9
3-Vermelha;Março;30;40,1;28,2;10,7;10,1;12,1;12,5;18,2;51,3;17,1;14,9;40,7;8,7;8,7;19,7;56,4;11,6;12,5;64,7
3-Vermelha;Março;31;26,5;16,7;5,9;5,9;7,1;7,6;10;31,3;11,6;8,1;18,1;6,4;3,9;10,6;31,9;8,2;7,6;42,3
3-Vermelha;Abril;1;71;53,7;21,7;20,5;25,8;26,8;51,1;70,6;35,5;31,8;72,8;14,1;20,4;48,7;115,5;22,2;25,2;143,6
3-Vermelha;Abril;2;71,9;55,6;22,5;21,4;27,2;28,2;52,5;73,9;37,3;32,4;74,6;16;21;50,9;122,8;23,5;26,5;145,5
3-Vermelha;Abril;3;72,6;55,9;21,7;21,5;27,5;28,8;53,2;74,8;38,1;31,2;74,2;15,4;21,2;51,3;124,3;24,3;27;144,1
3-Vermelha;Abril;4;71,2;55,7;22,6;21,8;27,2;28,1;52,5;75,7;38,3;31,7;75,7;15,1;21,2;51;124,6;23,3;26,9;144,9
3-Vermelha;Abril;5;73;56,5;22,3;21,5;27;28,4;50,9;78,5;38,4;32,1;76;15,9;21,1;50;123,4;23,8;26,7;147,4
3-Vermelha;Abril;6;48,1;33,8;13,1;12,4;15,2;16;25,7;64,2;21,8;19,7;49,9;10,1;10,5;24;70,9;14,7;16;91,9
3-Vermelha;Abril;7;28;17,8;6,6;6,4;8,2;9,2;11,8;35,8;12,8;9,8;19,8;6,7;4,6;11,5;38;9,1;9,1;62,6
3-Vermelha;Abril;8;70,8;53,9;21,6;20,3;25,8;27,6;49,5;72,4;36,2;31,7;74;14,3;21,3;48,9;116,4;22,3;25,5;141,9
3-Vermelha;Abril;9;79,8;57,6;22,5;21,7;27,7;28,5;52,5;74,1;38,4;33,2;76,5;15,8;21,6;52,4;125,2;22,7;26,5;146,1
3-Vermelha;Abril;10;71,2;56,2;22,5;20,8;27,4;28,7;53;75;38,4;31,2;75,5;15,6;21,6;51,2;125,6;24;26,9;148
3-Vermelha;Abril;11;72,4;55,5;22,6;21,4;26,9;28,2;51,3;75,4;37,7;31,5;73,4;15;21,1;50,7;123,3;23,1;26,6;141,8
3-Vermelha;Abril;12;71,2;50,7;21,9;21;25,9;27,8;49;75,2;37,3;31,6;76,1;14,5;20,8;49,6;119,5;23;26,1;140,5
3-Vermelha;Abril;13;46,4;32,7;12,5;12,3;14,8;15,8;24,9;61;21;18;46,4;9,9;10,4;23;67,8;11,3;15,5;81,7
3-Vermelha;Abril;14;39,2;19,7;6,6;6,5;8,4;8,6;11,6;35,2;12,7;9,4;20,4;7,9;4,6;11,6;37,7;9;8,8;55,1
3-Vermelha;Abril;15;70,7;53,6;21,4;20,4;25,7;27;50,1;71,7;35,5;31,2;74;14,1;20,7;48,7;114,6;22,1;25,4;141,2
3-Vermelha;Abril;16;71,8;55,5;22,5;21,5;27,3;28,1;52,4;74,1;38,2;32,7;75,8;15,8;21,1;51,4;123,3;23,4;26,8;147,8
3-Vermelha;Abril;17;70,3;54,9;22;21,2;27;28,1;51,1;73,9;37,2;30,7;73,8;15,1;21;51,1;122,1;23,7;26,6;142,2
3-Vermelha;Abril;18;70;54,3;22;21,2;26,8;27,3;50,3;71,8;36,9;30,9;72,9;14,5;20,6;50,3;122,2;23;26,7;143,1
3-Vermelha;Abril;19;71,5;54,9;21,7;21,1;26,6;27,6;48,5;73,6;37,5;31,4;75,6;15,6;21;49,6;120,5;23;26,1;146,1
3-Vermelha;Abril;20;46,5;33,2;12,6;12,1;15,2;15,7;24,5;61,2;20,9;17,8;46,3;10,1;10,5;23;69;13,5;15,6;88,7
3-Vermelha;Abril;21;32,1;17,1;6,3;6,1;7,8;8,2;11,3;34,2;12,8;9,3;17,5;6,7;4,4;11,8;36,3;9;9,2;54,5
3-Vermelha;Abril;22;71,7;53,8;21,6;20,5;26;26,9;50,2;71,4;36;31,4;72,6;14,2;20,9;48,9;115,4;22,4;25,1;138,6
3-Vermelha;Abril;23;71,6;55,4;22,3;21,3;27,2;28,2;52,3;74,1;38,1;32,2;74,6;15,9;21,2;51,6;122;23,1;25,6;137,4
3-Vermelha;Abril;24;72,3;55,5;22,4;21,4;27,4;28,2;52;74,6;34,9;30,6;74,6;15,2;21,3;51,3;122,6;23,7;25,8;134,7
3-Vermelha;Abril;25;71;55,1;22,4;21,1;27;26,2;50,9;73,9;37,7;31,2;73,2;14,9;20,9;50,4;123,4;23,1;26,2;153,4
3-Vermelha;Abril;26;71,3;54,7;21,8;21;26,1;27,5;48,7;74,5;37,7;31;74,4;15,8;20,5;50,6;122,3;23,4;26;145,1
3-Vermelha;Abril;27;45,3;32,3;12,5;11,9;14,8;15,2;24,7;59,7;21,1;18,1;44,7;9,9;10,1;22,6;67,4;13,7;15,7;81,7
3-Vermelha;Abril;28;37,6;18,8;6,4;6,2;8,3;8,4;11,9;34,5;13;9,8;20,3;6,6;4,7;11,7;37,4;9,2;8,5;53,1
3-Vermelha;Abril;29;70,5;53,6;21,8;20,6;25,8;27,2;49,6;70,8;35,8;31,7;73,4;14,5;21,2;50,5;119,4;21;24,7;133,8
3-Vermelha;Abril;30;75,8;56,5;22,7;21,8;27,9;28,3;51,2;76,2;38,7;33,1;75,4;16,4;22,1;52,8;125,8;23,7;26;146,4
3-Vermelha;Maio;1;34,1;20,4;7,9;7,4;9,4;10,2;14,1;43;14,8;10,6;26,7;7,9;5,3;15,1;43;9,8;10,6;58,1
3-Vermelha;Maio;2;76,6;55,3;22,5;21,4;26,8;27,8;49,9;68,9;37,9;31,1;72,9;14,9;21;51,2;121,4;23;26,4;134
3-Vermelha;Maio;3;71,7;55,1;21,8;20,8;26,2;27,2;47,8;75;37,3;31,1;75,1;15,6;21,1;50,6;118,9;23,6;25,7;136,9
3-Vermelha;Maio;4;56,1;34,4;12,5;12,2;15,5;16,3;24,9;63,7;21,2;19,5;47,9;9,8;10,3;25,5;69,8;13,2;16,3;81,9
3-Vermelha;Maio;5;26,9;17;6,2;5,9;8,1;8,1;11;33,1;12,4;9,7;18,8;6,3;4,3;14,3;35,1;8,3;8,4;55,2
3-Vermelha;Maio;6;71,2;54,8;21,6;20,7;26,1;27,6;50,4;72,4;36,1;31,5;73,8;14,6;21,3;49,2;116,2;22,4;25,4;138
3-Vermelha;Maio;7;75,6;56,3;22,6;21,7;27,5;28,6;52,7;77,1;38,6;32,2;77,7;16,3;22,4;52,1;125,8;21;26,4;137,2
3-Vermelha;Maio;8;75,2;55,9;22,4;21,7;27,8;28,6;52,3;76,5;38,5;25,9;73,5;15,5;22,2;52,1;125,4;24,3;26,2;132,1
3-Vermelha;Maio;9;71,4;55,5;22,5;21,4;28;28,2;51,4;75;38;29;75,8;15,2;21,7;51,4;124,5;23,2;26,6;136,2
3-Vermelha;Maio;10;72,9;55,9;22,2;21,2;26,4;28,3;48,9;71,7;38;30,9;76,6;15,7;21,5;50,9;121,7;23,3;26,2;130,9
3-Vermelha;Maio;11;47,3;33,8;12,9;12,2;14,8;16,6;24,5;63,9;21,2;18,3;48,5;9,8;10,4;24,1;69,6;13,6;15,3;85,6
3-Vermelha;Maio;12;30,9;17,5;6,6;6,2;8,2;8,2;10,7;32;11,8;9;19,8;7,5;4,1;11,2;32,9;8,3;8,2;53
3-Vermelha;Maio;13;70,8;54;21,6;20,6;25,9;27,3;49,5;71,3;35,7;30,7;73,4;14,2;20,8;49;116,4;21,9;24,9;129,9
3-Vermelha;Maio;14;80,2;56,1;22,3;21,5;27,4;28,3;51,1;71,9;37,1;31,9;73,8;15,8;21;51,2;122,2;23,2;26;140
3-Vermelha;Maio;15;71,5;55,7;22,1;21,3;27,2;28,5;51,6;79,2;37,5;30,9;75,5;15,2;21,1;50,8;123,9;23,8;26,6;143,5
3-Vermelha;Maio;16;71,5;48,4;22,5;21,7;27,3;28,2;51,3;75,3;37,8;31,7;74,6;15;21,5;51,2;124,9;23,2;26,7;135,2
3-Vermelha;Maio;17;71,5;55,1;21,9;21,3;26,4;27,8;48,8;76,3;37,4;31,4;75,5;15,4;21,2;50,7;120,8;23,5;26,2;133,6
3-Vermelha;Maio;18;48,5;33,6;12,9;12,4;15,2;15,9;25,2;61,6;21,5;17,9;48,7;10,4;10,2;30,3;72,5;13,8;15,9;84,1
3-Vermelha;Maio;19;28,9;17,5;6,3;6,4;8,2;8,4;11,5;35,1;12,1;9,7;20,8;6,4;4,6;20,1;43,4;8,7;8,5;49,5
3-Vermelha;Maio;20;70,6;53,7;21,6;20,4;26,1;27,2;50;71,1;35,7;31,1;70,7;14,3;21,1;49,5;115,6;22,2;25,3;126
3-Vermelha;Maio;21;72;56;22,4;21,7;27,3;28,5;51,7;76,2;37,7;32,3;75,3;16,1;21,9;51,6;122,7;23,2;24,5;139
3-Vermelha;Maio;22;78,9;56,1;21,9;21,2;27,3;28;51,2;73,4;37,4;30,3;75,1;15,4;21,9;50,3;122,7;23,5;26,2;143,1
